Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2024,"New Zealand",-,NZL,-,1885,0,2674,0,0,130,0,126
2024,Oman,-,OMN,-,300,0,421,0,0,0,0,0
2024,Pakistan,-,PAK,-,1586287,34548,165902,0,0,59,1400000,134
2024,Panama,-,PAN,-,2595,0,5610,0,0,928,6000,37776
2024,Paraguay,-,PRY,-,6071,0,1578,0,0,5,3515,0
2024,Peru,-,PER,-,6712,0,508429,0,0,32,8105,8580
2024,Philippines,-,PHL,-,932,0,1307,119062,115047,32,0,126228
2024,"Papua New Guinea",-,PNG,-,10320,0,3251,95000,0,0,134,1933
2024,Poland,-,POL,-,980034,15300,9266,0,0,1487,0,1328
2024,Portugal,-,PRT,-,65194,800,2158,0,0,31,0,0
2024,Romania,-,ROU,-,166849,1300,629,0,0,291,0,179
2024,"South Africa",-,ZAF,-,68999,114,94379,0,0,0,0,0
2024,"Russian Federation",-,RUS,-,1226732,12,784,0,0,91483,0,0
2024,Rwanda,-,RWA,-,114686,95,13199,0,0,9500,12139,7157
2024,Senegal,-,SEN,-,11837,0,990,0,0,0,0,0
2024,Spain,-,ESP,-,423004,3100,254050,0,0,8578,0,0
2024,"Serbia and Kosovo: S/RES/1244 (1999)",-,SRB,-,32892,0,224,209784,0,2223,0,573
2024,"South Sudan",-,SSD,-,468759,3741,5527,1121084,0,10500,454831,0
2024,Sudan,-,SDN,-,865510,179226,43805,10540215,0,0,27282,3392
2024,Suriname,-,SUR,-,24,0,2911,0,0,7,0,12
2024,Slovakia,-,SVK,-,124106,2000,123,0,0,49,0,0
2024,Slovenia,-,SVN,-,11439,200,573,0,0,10,0,10
2024,Eswatini,-,SWZ,-,1264,11,1983,0,0,0,0,12
2024,Sweden,-,SWE,-,223204,700,9448,0,0,18638,0,0
2024,Switzerland,-,CHE,-,194024,1100,16786,0,0,1259,0,103
2024,"Syrian Arab Rep.",-,SYR,-,11316,0,4552,7414806,22725,160000,16217034,18152
2024,"United Rep. of Tanzania",-,TZA,-,182935,7782,41121,0,0,0,0,12539
2024,Thailand,-,THA,-,84712,0,2086,0,0,587083,0,535
2024,Tajikistan,-,TJK,-,11033,32,2120,0,0,3629,0,0
2024,Turkmenistan,-,TKM,-,3514,0,0,0,0,2790,0,0
2024,Tunisia,-,TUN,-,3840,0,14484,0,0,0,0,0
2024,Türkiye,-,TUR,-,3148663,9016,194637,0,0,415,0,0
2024,"United Arab Emirates",-,ARE,-,1415,0,6932,0,0,0,0,99
2024,Uganda,-,UGA,-,1656440,7507,45848,0,0,67000,2659400,0
2024,Uruguay,-,URY,-,1302,0,27141,0,0,5,9216,0
2024,"United States of America",-,USA,-,435333,0,3184161,0,0,0,0,0
2024,Uzbekistan,-,UZB,-,8955,0,0,0,0,22496,0,0
2024,"Venezuela (Bolivarian Republic of)",-,VEN,-,29333,5,1578,0,0,0,0,227172
2024,Zambia,-,ZMB,-,75972,0,9005,0,0,0,0,17666
2024,Israel,-,ISR,-,1256,0,24178,0,0,35,0,36103
2024,Liechtenstein,-,LIE,-,763,0,25,0,0,0,0,0
2024,"North Macedonia",-,MKD,-,19371,300,41,0,0,179,0,46
2024,Malta,-,MLT,-,8732,0,645,0,0,0,0,0
2024,Angola,-,AGO,-,25320,0,30267,0,0,0,0,199
2024,Botswana,-,BWA,-,809,0,158,0,0,0,0,70
2024,"Central African Rep.",-,CAF,-,43078,809,29431,453301,117963,0,0,0
2024,Cameroon,-,CMR,-,484195,17004,11596,1036775,38477,0,0,13800
2024,Congo,-,COG,-,61827,0,6904,0,0,0,0,12637
2024,"Dem. Rep. of the Congo",-,COD,-,520381,7181,6117,7008290,520561,0,0,59
2024,"Costa Rica",-,CRI,-,27684,0,206700,0,0,336,3051,13170
2024,Namibia,-,NAM,-,5144,0,1174,0,0,0,0,55
2024,Zimbabwe,-,ZWE,-,9540,0,12763,0,0,0,0,998
2024,Algeria,-,DZA,-,182949,0,4008,0,0,0,0,0
2024,Bahrain,-,BHR,-,250,0,122,0,0,0,0,0
2024,"Cote d'Ivoire",-,CIV,-,2369,9,53197,0,0,930958,0,0
2024,Qatar,-,QAT,-,197,0,140,0,0,1200,0,0
2024,Somalia,-,SOM,-,18700,0,20774,3861634,0,0,0,222
2024,Yemen,-,YEM,-,47410,405,12947,4516341,0,0,0,15
2024,"Bolivia (Plurinational State of)",-,BOL,-,1117,0,34,0,0,0,15569,6137
2024,Guatemala,-,GTM,-,1265,0,2366,0,0,0,406161,75328
2024,Burundi,-,BDI,-,87131,0,2177,7484,0,791,0,1303
2024,"Burkina Faso",-,BFA,-,38469,395,1971,2062534,0,0,0,0
2024,Chad,-,TCD,-,1239907,15245,11396,219393,0,0,0,296301
2024,Guinea,-,GIN,-,2184,0,54,0,0,0,0,0
2024,Mauritania,-,MRT,-,132182,746,7834,0,0,0,0,0
2024,Mali,-,MLI,-,95440,11,230,330713,45456,0,0,0
2024,Malawi,-,MWI,-,35327,84,19137,0,0,0,0,5
2024,Mozambique,-,MOZ,-,5454,7,18828,577545,5090,0,0,1356
2024,Mauritius,-,MUS,-,5,0,43,0,0,0,0,0
2024,Niger,-,NER,-,362682,17226,48636,407430,0,0,0,45873
2024,Togo,-,TGO,-,28704,5,10538,9680,0,0,0,0
2024,Belize,-,BLZ,-,181,0,1584,0,0,0,0,8808
2024,Nauru,-,NRU,-,0,0,97,0,0,0,0,0
2024,"Trinidad and Tobago",-,TTO,-,3282,0,31260,0,0,0,0,1208
2024,"Sint Maarten (Dutch part)",-,SXM,-,7,0,134,0,0,0,0,10
2024,Palau,-,PLW,-,0,0,5,0,0,0,0,0
2024,Comoros,-,COM,-,5,7,5,0,0,0,0,0
2024,Gabon,-,GAB,-,188,0,78,0,0,0,0,9
2024,Liberia,-,LBR,-,1164,0,665,0,0,0,0,0
2024,"Saudi Arabia",-,SAU,-,488,0,3906,0,0,70000,0,0
2024,Bahamas,-,BHS,-,10,0,27,0,0,0,0,723
2024,"Equatorial Guinea",-,GNQ,-,5,0,0,0,0,0,0,0
2024,Lesotho,-,LSO,-,364,0,187,0,0,0,0,5
2024,Djibouti,-,DJI,-,23477,0,8028,0,0,0,0,0
2024,Haiti,-,HTI,-,5,0,0,578074,0,0,0,5
2024,Honduras,-,HND,-,190,0,133,247090,0,0,0,155283
2024,"El Salvador",-,SLV,-,111,0,245,71500,0,0,133964,54412
2024,"Antigua and Barbuda",-,ATG,-,5,0,0,0,0,0,0,0
2024,"Cayman Islands",-,CYM,-,49,0,93,0,0,0,0,222
2024,"Saint Kitts and Nevis",-,KNA,-,5,0,0,0,0,0,0,0
2024,Eritrea,-,ERI,-,119,0,0,0,0,0,0,18
2024,"Saint Lucia",-,LCA,-,5,0,0,0,0,0,0,0
2024,Guinea-Bissau,-,GNB,-,24,0,30,0,0,0,0,0
2024,"Sierra Leone",-,SLE,-,0,0,0,0,0,0,0,210
2024,Monaco,-,MCO,-,17,0,0,0,0,0,0,0
2024,"Unknown ",-,UNK,-,0,841,0,0,0,0,0,0
2024,Barbados,-,BRB,-,5,0,5,0,0,0,0,0
2024,"Viet Nam",-,VNM,-,16,0,0,0,0,26811,0,0
2024,"Turks and Caicos Islands",-,TCA,-,7,0,0,0,0,0,0,0
2024,Cambodia,-,KHM,-,24,0,5,0,0,75000,0,0
2024,Myanmar,-,MMR,-,0,0,0,3191968,251624,633975,0,0
2024,"Solomon Islands",-,SLB,-,0,0,0,1000,0,0,0,0
2024,"Brunei Darussalam",-,BRN,-,0,0,0,0,0,20863,0,0
2024,"Cabo Verde",-,CPV,-,0,0,0,0,0,115,0,0
2024,Singapore,-,SGP,-,0,0,0,0,0,1109,0,0
2024,Aruba,-,ABW,-,0,0,0,0,0,0,0,0
2024,"Curacao ",-,CUW,-,0,0,0,0,0,0,0,0
